h,averageIndividualDifference,averageIndividualDifferencePts,totalSpread,totalSpreadPts,spreadDifference,spreadDifferencePts
76,15.600,5.543,9.000,0.176,6.800,9.660
175,19.400,4.457,56.800,1.112,5.200,9.740
190,18.800,4.629,60.600,1.186,10.800,9.460
207,20.000,4.286,75.000,1.468,9.800,9.510
214,19.600,4.400,76.000,1.487,12.800,9.360
198,20.000,4.286,64.000,1.252,7.800,9.610
200,18.600,4.686,69.200,1.354,18.000,9.100
209,20.800,4.057,71.800,1.405,8.000,9.600
194,20.200,4.229,60.800,1.190,9.400,9.530
203,20.800,4.057,68.000,1.331,11.400,9.430
80,18.600,4.686,22.400,0.438,8.000,9.600
193,20.400,4.171,62.200,1.217,14.200,9.290
210,22.200,3.657,73.600,1.440,8.600,9.570
282,17.600,4.971,15.400,0.301,12.200,9.390
204,22.200,3.657,68.200,1.335,7.600,9.620
276,19.000,4.571,27.800,0.544,10.200,9.490
172,21.200,3.943,52.600,1.029,10.000,9.500
196,21.600,3.829,64.800,1.268,13.000,9.350
165,21.800,3.771,56.400,1.104,9.400,9.530
79,20.800,4.057,22.000,0.431,2.600,9.870
280,19.200,4.514,20.000,0.391,11.200,9.440
